楼盘名称,楼盘位置,单价,总价,面积
珠江四季悦城,通州区,40000,198-327万,3室65-150㎡
燕西华府,丰台区,49800,742-3190万,5室118-590㎡
盛秦西苑,海港区,6800,39-70万,1-3室58-121㎡
城乡世纪广场莫尔空间,大兴区,32000,178万起,2室56-293㎡
首开缇香郡,通州区,30000,915-919万,4室55-242㎡
北湖壹号,房山区,,576万起,3室320㎡
北辰红橡墅,昌平区,,,5-6室321-505㎡
昆仑域,丰台区,115280,总价待定,4-5室145-185㎡
中国铁建原香漫谷,房山区,19000,163-212万,2-3室84-129㎡
融创西长安壹号,门头沟区,45000,282-592万,2-3室62-148㎡
西区国际公寓,丰台区,35000,126-252万,1-2室36-72㎡
首创天阅西山,海淀区,80000,总价待定,4室178-245㎡
东亚风尚国际,河东区,20000,112-116万,1室55-58㎡
绿地环球文化金融城,石景山区,43000,630万起,60-140㎡
宏益花城,惠城区,11000,210万起,1室60㎡
京南一品,莲池区,25500,270-358万,2室108-143㎡
金融街融汇,大兴区,22500,总价待定,1-3室54-113㎡
北京城建•朝青知筑,朝阳区,76000,总价待定,
西山艺境,门头沟区,65000,总价待定,3室260㎡
首开保利熙悦诚郡,大兴区,79000,总价待定,
电建金地华宸,门头沟区,64000,741-929万,3-4室114-250㎡
天洋硅谷.超级蜂巢,房山区,32000,121万起,1室38㎡
顺鑫颐和天璟,顺义区,40500,总价待定,3-4室108-486㎡
中昂邑上原著,平谷区,25000,总价待定,5室81-360㎡
中建国际城,顺义区,35000,353万起,1室101㎡
原香美利坚,延庆区,,660万起,4室264㎡
博维中央公园,海港区,11000,143万起,2室130㎡
城建万科城,延庆区,26000,195-234万,2-3室75-90㎡
桃源新都孔雀城,涿州市,11000,118万起,3室92-115㎡
鲁能泰山7号别墅,顺义区,46800,1853万起,4室315-458㎡
华纺易城,朝阳区,47574,总价待定,3-4室102-186㎡
海南富力湾,朝阳区,31000,192-314万,2-3室74-121㎡
万年广阳郡九号,房山区,60000,796万起,3-4室166-228㎡
远洋傲北,昌平区,,,4-5室374-477㎡
恒泰公馆,房山区,11000,22万起,1室35㎡
首城汇景墅,平谷区,24000,909万起,4室84-375㎡
富力·盈溪谷,朝阳区,26000,774万起,7室298㎡
东方美墅,北京周边,11000,总价待定,3室50-506㎡
北京城建龙樾西山,门头沟区,57000,625-710万,3-4室118-134㎡
香山四季,海淀区,105000,1510-1738万,3-5室159-636㎡
华银天鹅湖金峪谷,房山区,,,1-3室37-280㎡
世嘉光织谷,怀柔区,18974,总价待定,2-4室87-177㎡
中粮祥云国际生活区,顺义区,,2000万起,3-5室156-500㎡
杉浩慢城,涿州市,9950,1458万起,4室364㎡
海南富力红树湾,朝阳区,15000,471万起,2室314㎡
龙湖长城源著,密云区,,,3室113-150㎡
京投银泰万科西华府,丰台区,,,2-3室75-115㎡
恒大翡翠华庭,北京周边,6600,总价待定,2室83-87㎡
昆泰嘉瑞中心·公寓,朝阳区,,1476万起,1室123㎡
水色时光花园,顺义区,18000,总价待定,3室70-278㎡
鑫苑汤泉世家,东城区,12000,总价待定,4室86-218㎡
启航国际诺亚方舟,房山区,,,1室40-50㎡
万科•翡翠四季,通州区,58000,总价待定,2-8室75-320㎡
首创中心,丰台区,,,1室74㎡
绿地自由港,顺义区,24000,285万起,1室127-3106㎡
惠友钻石广场,北京周边,,,3室41-125㎡
华浩.海悦湾,惠阳区,12800,75-111万,1-2室58-86㎡
华贸城铂金墅,朝阳区,,,320-340㎡
荣盛·浦溪水镇,海淀区,10500,50万起,1-2室47-72㎡
西山甲一号,丰台区,60000,总价待定,3-4室123-180㎡
懋源钓云台,丰台区,130000,3263万起,3-4室169-251㎡
兴创荣墅,大兴区,30000,总价待定,5室240-500㎡
德胜君玺,西城区,52752,总价待定,1-4室91-266㎡
恒大帝景,河东区,42000,574-1127万,1-5室90-275㎡
西山湖,丰台区,,90-300万,1室36-120㎡
上上城理想新城2期锦绣华庭,北京周边,17000,总价待定,1-3室54-136㎡
江南府,朝阳区,72000,622-818万,2-3室82-109㎡
翡翠西湖,丰台区,41200,387万起,3室90㎡
富力金禧花园,通州区,39365,总价待定,2-3室86-130㎡
金玉府,海淀区,78000,1037-1060万,3室133-136㎡
天恒摩墅,房山区,29555,总价待定,4室139-162㎡
韩建观山源墅,房山区,47500,1527万起,7室87-330㎡
五矿观山,海淀区,,,1室960-970㎡
北京经开汀塘,大兴区,53980,总价待定,2-3室82-92㎡
首创禧悦府,密云区,33000,240-320万,2-3室73-115㎡
华银天鹅湖国际生态城,房山区,8500,182万起,5室65-300㎡
观唐云鼎,密云区,31000,1476万起,5室547㎡
金隅糖+,房山区,30000,334万起,3室74-104㎡
顺泽水榭花城,北京周边,,,2-3室80-130㎡
佳龙美墅杉,北京周边,,,3室30-122㎡
保利紫荆香谷,昌平区,,,2-4室72-149㎡
东亚朗悦居,房山区,35000,228-255万,2-3室76-85㎡
白鹭岛,山海关区,,,2室89-110㎡
懿品府,密云区,23000,757万起,4室14-358㎡
首开·国风悦都,安次区,14500,115-126万,2-3室79-87㎡
中弘·由山由谷,平谷区,18000,110-163万,2-3室85-126㎡
鸿坤理想尔湾,北京周边,11500,总价待定,3-4室93-154㎡
万和斐丽,大兴区,52449,459万起,3室90㎡
一杯澜,朝阳区,26000,264-535万,2-3室101-206㎡
蓝光星华海悦城,房山区,30000,321万起,1-4室48-107㎡
三田雍泓·青海城-北京站,通州区,22000,193万起,2室88㎡
华业东方玫瑰,通州区,,,1-3室67-178㎡
中加锦园,密云区,16802,总价待定,3室68-142㎡
北京华银城,涞水县,9200,93-108万,2-3室85-99㎡
阿尔卡迪亚•香河花语城,北京周边,11000,总价待定,2-3室77-106㎡
罗马假日,朝阳区,28000,251万起,2室89㎡
翡翠公园,昌平区,,,4室145-280㎡
碧桂园莫奈的湖,武清区,9500,340万起,8室105-284㎡
滟澜新宸长桥墅,昌平区,35000,总价待定,252-300㎡
宏程华庭,东城区,6976,总价待定,1-3室50-116㎡
K2十里春风,通州区,,,2-3室78-155㎡
金科王府澜庭,昌平区,25000,总价待定,2-3室125-160㎡
金隅观澜时代,昌平区,26028,总价待定,2-3室78-138㎡
兴创屹墅,大兴区,70000,3290万起,3-5室180-470㎡
京第银座,北京周边,13000,总价待定,1-2室44-104㎡
长安府,朝阳区,130000,7709-18317万,4-6室593-1409㎡
K2京西狮子城,北京周边,,,3室51-91㎡
华润萬橡府,海淀区,,,3-4室145-295㎡
北京城建世华泊郡,朝阳区,47348,总价待定,1-4室66-158㎡
台湖银河湾,通州区,69800,总价待定,1-5室55-209㎡
滟澜新宸,昌平区,32142,总价待定,3-4室98-300㎡
恒泰偶寓,房山区,,,36-97㎡
富力运河十号,通州区,58000,460万起,3室115㎡
世茂·一渡青青小镇,房山区,13000,总价待定,6室232-427㎡
珠江中国阙,通州区,,,3室151-181㎡
金科王府,昌平区,,,4室397㎡
首开熙悦尚郡,朝阳区,65000,总价待定,3-5室125-203㎡
永定河孔雀城莱茵河谷,北京周边,,,2-3室74-127㎡
中国铁建山语城,云岗,23000,总价待定,3-4室135-160㎡
嘉都,三河市,13500,总价待定,1-3室50-116㎡
首开国风美仑,通州区,30000,465万起,1室179㎡
首开·中晟广场,顺义区,,,1-2室46-56㎡
远洋天著春秋,石景山区,95000,总价待定,4室240-430㎡
紫金印象,西城区,100000,550-1750万,1-4室55-175㎡
中国铁建·原香漫谷,房山区,,,2-3室84-129㎡
巨富九璟湾,东城区,,,2-3室67-89㎡
一方南岭国际,海港区,20000,59-76万,2-3室79-102㎡
金地仰山,大兴区,34532,总价待定,2-4室89-181㎡
韩建青春誌,房山区,26000,总价待定,1-3室39-90㎡
永泰西山御园,门头沟区,60000,1158-1423万,4室193-219㎡
8哩岛,通州区,48000,总价待定,
海口融创·博鳌金湾-北京站,海淀区,23000,133-365万,1-3室58-159㎡
V7九间堂,通州区,,,4室220-412㎡
当代北辰MOMA VILLAGE,顺义区,,,48-70㎡
北京密码,大兴区,25000,125万起,1室50㎡
当代采育满庭春MOMA,大兴区,9500,总价待定,2-3室84-134㎡
京投发展檀香府,门头沟区,50000,总价待定,4室135-320㎡
华远和墅,大兴区,63000,总价待定,6室295-296㎡
八达岭孔雀城原山著,延庆区,9000,总价待定,4室76-181㎡
公园8090,北京周边,21000,总价待定,1-3室62-126㎡
中海紫御公馆,崇文,73176,总价待定,1-4室59-208㎡
华远铭悦世家,通州区,30916,总价待定,1-3室56-160㎡
北京风景,昌平区,49500,603-742万,3-4室122-150㎡
龙湖唐宁ONE,海淀区,71287,总价待定,1-3室40-90㎡
海棠公社,朝阳区,,,3室169-170㎡
中粮·瑞府,朝阳区,102941,总价待定,4室647㎡
恒基现代城,东城区,,,2-3室79-132㎡
北京城建世华龙樾,海淀区,82000,总价待定,
卓越万科翡翠山晓,石景山区,52024,总价待定,
京投银泰琨御府18号,海淀区,125000,总价待定,2-5室143-237㎡
棠颂别墅,大兴区,157480,总价待定,5室91-603㎡
天同彼岸香醍,密云区,,,5室347㎡
福信恒基花园,北京周边,6800,总价待定,1-3室61-126㎡
万泽经海广场,大兴区,,,
北京城建·琨廷,房山区,,,2-3室85-98㎡
海阔水岸花墅,密云区,19000,总价待定,
宏程华苑,北京周边,,,1-3室36-108㎡
龙湖西宸原著,丰台区,,,1-6室48-420㎡
一品嘉园,大兴区,28500,422万起,1-3室61-140㎡
中国铁建兴盛嘉苑,大兴区,19000,总价待定,2室88㎡
鸿坤林语墅,大兴区,88000,2280万起,5室380㎡
爱上岛,北京周边,,,1-3室51-121㎡
五矿万科如园,海淀区,100000,2400-2496万,4室220-310㎡
长阳光和作用,房山区,46000,436万起,2室91㎡
梵悦108,朝阳区,,,1-2室107-260㎡
保利首开四季怡园,门头沟区,,,2-3室69-88㎡
北京富力尚悦居,通州区,,301万起,2室86㎡
北京东第,北京周边,8000,总价待定,1-3室53-133㎡
湖畔新都孔雀城,北京周边,,,2-5室84-204㎡
鸿威翡翠城,延庆区,,,2室88㎡
云南-丽江复华度假世界,古城区,20000,170万起,2室85㎡
泰禾红御,通州区,,,4室1000-1500㎡
龙堂新苑,北京周边,,,1-3室64-120㎡
琉璃湖别墅,房山区,12000,总价待定,4室331-477㎡
锦绣观邸,北京周边,8200,总价待定,2-3室67-154㎡
中骏·西山天璟,门头沟区,760,总价待定,2室118㎡
中冶蓝城,房山区,19500,总价待定,
永恒长城里,延庆区,15000,269-377万,5室48-295㎡
万通天竺新新家园·溪悦澜墅,顺义区,,,6室480㎡
长安壹线,东城区,,,
泰禾·北京院子,朝阳区,69500,1125-1153万,3-4室162-326㎡
君正红石庄园,北京周边,,,3室145-289㎡
亦庄金茂悦,大兴区,70000,1050万起,4室150㎡
清锦源,顺义区,,,8室745㎡
首开住总熙悦安郡,朝阳区,79155,664-856万,2-3室83-137㎡
天恒水岸壹号,房山区,48000,610-690万,3-4室122-198㎡
北京城建诚墅,大兴区,,,5室101-370㎡
华融·现代城,涿州市,25000,240-355万,3-4室96-142㎡
富力惠兰美居,通州区,75000,总价待定,2-3室83-105㎡
华彬江南锦,昌平区,62000,总价待定,
华润公元九里,大兴区,62000,总价待定,
中粮·京西祥云,房山区,58000,598-650万,3-4室115-140㎡
上上城青年社区二期,东城区,12308,总价待定,1-3室53-110㎡
天恒乐活城D5,房山区,15000,总价待定,1-2室69-88㎡
翰铂酒店式服务公寓,石景山区,,,1室48-59㎡
清城国际中心,大兴区,33000,141-412万,1-3室43-125㎡
首开·璞瑅墅,大兴区,,,4室498㎡
帕克先生的别墅,北京周边,,,
首开国风尚樾,朝阳区,120000,1842-2315万,2-4室107-210㎡
富力新城,香河县,23000,305万起,2-4室77-133㎡
乐栋300,朝阳区,26901,总价待定,1室47-58㎡
翠林湾,北京周边,,,2室88-90㎡
中南湾,大兴区,63500,总价待定,2-3室97-135㎡
中昂香醍,房山区,23000,总价待定,
中信新城,大兴区,,,2-5室84-228㎡
观承别墅•大家,顺义区,,,4室300-400㎡
金地YOYO派,房山区,,66万起,1室40㎡
正源定慧福里,海淀区,53839,总价待定,2-3室76-104㎡
上林溪,海淀区,,352-864万,1-2室44-108㎡
蓝桥驿苑,大兴区,17405,总价待定,
