楼盘名称,楼盘位置,单价,总价,面积
大地锐城,历城区,7682,总价待定,2-3室96-159㎡
海亮·院里,历城区,8000,122-123万,1-3室87-107㎡
寓见MINI,历城区,14000,总价待定,28-55㎡
龙湖奥东11号,高新,16000,总价待定,33-65㎡
万科龙湖紫郡,历城区,,,3室125-140㎡
万科麓山（万科天泰金域国际二期）,历下区,14500,总价待定,3室96-143㎡
银丰悦珑府,历城区,30000,总价待定,
泉景天沅和园雅园,市中区,12774,总价待定,1-4室72-184㎡
荣盛时代国际,历城区,13000,总价待定,38-54㎡
原山九号,历下区,45000,总价待定,5室437-511㎡
荣盛华府,历城区,10999,总价待定,3-4室95-179㎡
鑫苑鑫中心,历城区,10000,31-47万,1室35-59㎡
金科城,槐荫区,15000,总价待定,4室31-148㎡
旭辉银盛泰星瀚城,历城区,13500,总价待定,
天泰太阳树,市中区,15685,总价待定,3-5室157-258㎡
祥生中央华府,济阳县,4800,45-71万,2-4室95-148㎡
四建美林花园,市中区,26600,总价待定,3-4室114-189㎡
万虹广场,历城区,14000,总价待定,1室42-73㎡
燕熙·花园小镇,历下区,9500,总价待定,2-4室80-138㎡
荣盛花语馨苑,天桥区,12000,64-110万,2-3室76-122㎡
融汇城,市中区,12599,44-51万,2-4室73-145㎡
佛山静院,历下区,,,
茗筑美嘉,高新,10000,总价待定,
帝华鸿府,历城区,,,2-4室83-139㎡
泉世界壹品,历城区,17000,62-71万,3室92-134㎡
中建新悦城,历城区,13000,总价待定,2-3室72-102㎡
大华紫郡2期,历下区,30500,133-346万,2-4室89-231㎡
济南恒大帝景,历下区,32000,总价待定,4室220-320㎡
黄金时代广场,历下区,16000,总价待定,60-2348㎡
绿地海珀天沅,市中区,22000,总价待定,3-5室136-330㎡
保利中心华府,槐荫区,23000,总价待定,2-3室86-128㎡
绿地新里城,市中区,21999,189万起,2-4室75-140㎡
恒大御峰,槐荫区,17500,总价待定,2-4室98-167㎡
王府庄园二期,天桥区,9500,总价待定,
祥泰城,历城区,13900,53-110万,1-3室77-145㎡
景和山庄,历城区,18000,90-118万,2-3室95-186㎡
三盛国际公园,高新,19000,183-295万,2-4室92-148㎡
天泰山大e号,历下区,,62万起,1室48㎡
中海华山珑城,历城区,16000,60-93万,2-4室78-160㎡
闻韶佳苑,济阳县,,,1-3室74-138㎡
华润中央公园,市中区,11870,总价待定,2-4室87-160㎡
融利广场商铺,市中区,,,1室50-70㎡
众美书香华府,商河县,,,3-4室99-168㎡
海信龙奥九号,历下区,,,1室61㎡
加州启城,天桥区,14500,总价待定,
中垠雅苑,高新,20999,总价待定,3-4室95-141㎡
恒生伴山,历城区,8480,总价待定,1-3室69-143㎡
三箭瑞景苑,天桥区,17000,27-112万,1-5室41-255㎡
三箭汇福山庄,历下区,20000,总价待定,3-5室148-360㎡
绿地泉景嘉园,槐荫区,,,3室100-140㎡
旭辉银盛泰博观山悦,市中区,27500,总价待定,3-4室143-177㎡
济南中建国熙台,历下区,,,2-4室94-161㎡
绿地城,历城区,12999,31-46万,1室35-52㎡
路劲御景城,槐荫区,9986,总价待定,2-3室83-121㎡
东都尚城,历城区,18000,总价待定,
龙湖春江郦城,历城区,15500,总价待定,2-4室82-150㎡
绿地泉景园,槐荫区,7369,总价待定,1-4室72-138㎡
绿地柏仕晶舍,历下区,26000,总价待定,4室155-199㎡
盛世名门,天桥区,10000,总价待定,3室95-113㎡
中再凤凰城,商河县,6500,38-42万,3室100-143㎡
冠华历山吉第,历下区,21000,总价待定,
舜兴东方,历下区,27000,总价待定,
中建长清湖瑜园,长清区,18000,总价待定,5-6室342-470㎡
汉峪海风海德堡,高新,,,2-4室90-200㎡
鲁能领秀城公园世家,市中区,26500,总价待定,2-4室86-174㎡
德润天玺,高新,13000,总价待定,2-4室92-198㎡
鹊华天禧,历城区,8500,50-107万,2-3室60-126㎡
路劲东城,历城区,8800,70-112万,2-3室83-128㎡
绿地新里香榭丽公馆,槐荫区,8950,59-90万,2-3室90-137㎡
鲁能泰山7号,历城区,15000,总价待定,3-4室95-140㎡
汇展香格里拉,高新,8300,总价待定,1室57㎡
绿城百合花园,高新,17000,94-175万,2-4室94-175㎡
银丰唐郡玫瑰园,历城区,20000,总价待定,3-4室100-145㎡
华夏帝苑,历城区,13000,总价待定,2-4室75-177㎡
中铁银座尚筑,高新,14000,总价待定,43-63㎡
畅博尚都,长清区,,,2-3室90-129㎡
中海珑湾,历城区,,,3-4室98-145㎡
星河壹号院,商河县,7000,总价待定,2-5室114-207㎡
绿地城香树花城,历城区,6300,47-68万,2-3室92-131㎡
济南万科城,历下区,17800,总价待定,
铭晖新天地,商河县,6900,总价待定,3室130-143㎡
