公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
宁波艾莫投资管理有限公司,IMO,150-500人,不需要融资,朝阳区,python开发工程师,1-3年,本科,20k-40k,团队背景强大；优质项目；五险一金；
杭州微易信息科技有限公司,保险师 · 微易信息科技,150-500人,B轮,朝阳区,python开发工程师,3-5年,本科,20k-40k,"六险一金,团队强大,氛围好"
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,python开发工程师,1-3年,本科,15k-30k,"行业独角兽,团队大牛多,薪资福利好"
杭州飞致云信息科技有限公司,FIT2CLOUD,50-150人,不需要融资,朝阳区,python工程师,3-5年,本科,15k-25k,项目发展非常好，一起改变世界
福州必全网络科技有限公司,必全网络,15-50人,天使轮,朝阳区,python程序员,3-5年,本科,10k-20k,五险一金
链家网（北京）科技有限公司,链家,,,海淀区,高级python,5-10年,本科,40k-65k,leader，七险一金
北京方舟阅读科技有限公司,豆瓣阅读,50-150人,A轮,,产品工程师-Python,1-3年,本科,15k-30k,"豆瓣子公司,免费水果"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,python开发工程师,5-10年,大专,20k-30k,"七险一金,绩效奖金"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,资深python开发工程师,5-10年,本科,20k-40k,"福利好,发展快"
北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,18k-35k,"住房补贴,优厚待遇,福利多,专属班车"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python,3-5年,本科,25k-30k,"核心项目,中间件团队,底层方向,等你来挑战"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,Python,3-5年,本科,40k-60k,"免费中晚餐,下午茶,六险一金,扁平化管理"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,python开发工程师,5-10年,本科,20k-40k,"五险一金,补充医疗,带薪年假,上市公司"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,3-5年,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,golang/python高级工程师,3-5年,本科,25k-45k,福利待遇好
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,5-10年,本科,30k-45k,"三餐,健身房,mac"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,西城区,Python 开发工程师,3-5年,本科,15k-17k,"金融央企,五险一金"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python高级研发工程师（微应用）,1-3年,本科,20k-30k,"免费午晚餐,下午茶零食,六险一金,扁平化管理"
北京江山如画网路科技有限责任公司,江山如画网络科技,少于15人,天使轮,海淀区,Python后端开发,1-3年,本科,10k-20k,"提供住宿,晋升空间,五险一金,技术大牛带"
北京快松果科技有限公司,松果出行,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,30k-45k,"大牛多,快速发展期,业务好,17薪"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Linux C++/Python中高级研发工程师,5-10年,本科,25k-35k,"弹性工作,六险一金,百万医疗,B+轮融资"
北京完美创意科技有限公司,更美APP,150-500人,D轮及以上,朝阳区,高级Python开发工程师,3-5年,本科,25k-45k,"弹性工时,出国游,扁平化团队,带薪年假"
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权"
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,高级Python开发工程师,3-5年,本科,15k-25k,"五险一金,周末双休,绩效奖金,上市公司"
