公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,算法工程师(J11044),3-5年,本科,25k-50k,机会多多
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法,3-5年,硕士,20k-40k,"薪资福利,核心业务,成长空间"
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,算法-语音识别(J11092),3-5年,本科,30k-50k,"平台好,福利好"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生,不限,硕士,5k-9k,免费三餐，租房补贴，扁平管理，健身瑜伽
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,算法实习生,1年以下,硕士,4k-5k,"成长大,团队精湛,完善的福利"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AIlab-算法群-移动端开发工程师,3-5年,本科,20k-40k,团队氛围好
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,算法实习生,应届毕业生,本科,6k-10k,"领导好,午晚餐"
中诚信征信有限公司,中诚信征信,150-500人,不需要融资,东城区,算法leader,3-5年,硕士,25k-40k,"行业领导者,优美四合院,午餐零食,周五7小时"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法,3-5年,硕士,40k-70k,"发展平台,技术氛围,免费班车,加班补贴"
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,海淀区,算法实习生-VR,应届毕业生,硕士,4k-5k,有转正机会
北京雪球信息科技有限公司,雪球,150-500人,D轮及以上,朝阳区,NLP算法工程师/算法专家,3-5年,硕士,25k-40k,"六险一金,免费午餐,扁平管理,成长空间大"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法专家,5-10年,本科,35k-70k,"创新前沿,技术大牛,发展空间大,弹性工作"
北京毫米科技有限公司,homi,50-150人,A轮,朝阳区,算法架构师,3-5年,硕士,20k-35k,"弹性工作制,地铁沿线,股票期权,大咖云集"
北京京东世纪贸易有限公司,京东物流,2000人以上,上市公司,通州区,算法&amp;数据挖掘 科学家,1-3年,硕士,25k-50k,"五险一金,竞争性薪酬,行业领先,名校合作"
百融金融信息服务股份有限公司,百融金服,500-2000人,C轮,海淀区,研发工程师-算法方向,应届毕业生,本科,16k-20k,"年底双薪,带薪年假,绩效奖励,年度旅游"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生,不限,本科,6k-8k,免费三餐，休闲下午茶，职业大牛，团队氛围好
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,数据挖掘/算法实习生,应届毕业生,本科,5k-6k,七险一金；免费三餐；氛围好
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法专家,5-10年,硕士,40k-70k,"新业务,成长空间大,团队氛围好"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法实习生,应届毕业生,本科,4k-6k,"创新前沿,发展空间大,弹性工作,股票期权"
北京和讯在线信息咨询服务有限公司,和讯网,150-500人,不需要融资,朝阳区,算法工程师(000980),1-3年,不限,20k-40k,"弹性工作,技术驱动,福利待遇好"
北京亮道智能汽车技术有限公司,亮道智能汽车,50-150人,A轮,朝阳区,算法实习生,应届毕业生,本科,4k-8k,7险一金
天阳宏业科技股份有限公司,天阳科技,500-2000人,上市公司,海淀区,算法工程师,1-3年,本科,15k-25k,金融IT 金融风险 产品研发
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法专家,3-5年,本科,40k-70k,"平均15薪,六险一金,餐补"
北京好脉网络信息技术有限公司,北京好脉,50-150人,A轮,海淀区,算法工程师/算法专家,5-10年,本科,20k-40k,"五险一金,地铁周边,双休,弹性工作"
晋商博创（北京）科技有限公司,博创科技,15-50人,不需要融资,丰台区,算法工程师,3-5年,本科,25k-40k,"工作气氛好,技术环境好"
云粒智慧科技有限公司,云粒智慧,50-150人,不需要融资,西城区,算法工程师-城市大脑,3-5年,硕士,30k-50k,发展空间大，薪资福利好
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,资深算法工程师／算法专家(J170808016),3-5年,本科,25k-50k,广阔平台、诱人职位、急速成长
古点投资有限公司,古点 (dotcom),50-150人,不需要融资,海淀区,算法工程师,1-3年,本科,10k-15k,福利好，办公环境好，待遇高
北京智加智行科技有限公司,智加科技,50-150人,A轮,海淀区,算法工程师,1-3年,本科,25k-50k,"人工智能,自动驾驶,风口行业"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,算法专家,5-10年,本科,35k-60k,"上市公司,大牛团队,福利优厚,晋升空间大"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生-抖音短视频,不限,本科,6k-8k,免费三餐，休闲下午茶，扁平管理，过亿用户
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法,5-10年,本科,20k-40k,五险一金
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,算法工程师(J11056),3-5年,本科,30k-50k,"平台好,福利好"
云粒智慧科技有限公司,云粒智慧,50-150人,不需要融资,西城区,云粒智慧-算法研发,1-3年,硕士,15k-30k,"算法,NLP,图像、语音,数据挖掘"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法专家,5-10年,本科,30k-50k,"免费晚餐,团队和谐"
北京金堤科技有限公司,天眼查,50-150人,A轮,海淀区,算法工程师,不限,硕士,20k-40k,"核心部门,万千宠爱,五险一金,技术大牛"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,算法工程师,1-3年,本科,30k-60k,"全额公积金,弹性工作,午餐补助"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,算法实习生,应届毕业生,本科,3k-6k,"海量数据,大牛云集,股票期权,待遇给力"
北京小川在线网络技术有限公司,最右,150-500人,B轮,海淀区,算法专家/算法架构师,5-10年,本科,50k-100k,"成长空间大,高薪高股,大牛云集,不打卡"
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,算法工程师,不限,硕士,30k-60k,"算法,数据挖掘,机器学习,深度学习"
